date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:40:01	406/406	---M--	302	error ('Found')	text/html	date:Mon,%2028%20Nov%202022%2015:10:01%20GMT	https://www.routenote.com/robots.txt		(from )
20:40:02	57354/57354	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2015:10:02%20GMT	https://www.routenote.com/	C:/My%20Web%20Sites/Routenote%20website/www.routenote.com/index.html	(from )
20:40:02	84245/84245	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	C:/My%20Web%20Sites/Routenote%20website/ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	(from https://www.routenote.com/)
20:40:02	13583/13583	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f8d-350f%22	https://cdnjs.cloudflare.com/ajax/libs/platform/1.3.5/platform.min.js	C:/My%20Web%20Sites/Routenote%20website/cdnjs.cloudflare.com/ajax/libs/platform/1.3.5/platform.min.js	(from https://www.routenote.com/)
20:40:02	1300/1300	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec1-514%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-cookie/1.4.1/jquery.cookie.min.js	C:/My%20Web%20Sites/Routenote%20website/cdnjs.cloudflare.com/ajax/libs/jquery-cookie/1.4.1/jquery.cookie.min.js	(from https://www.routenote.com/)
20:40:03	256764/256764	---MCZ	200	added ('OK')	text/css	date:Tue,%2001%20Nov%202022%2004:39:25%20GMT	https://www.routenote.com/rnb_app.css	C:/My%20Web%20Sites/Routenote%20website/www.routenote.com/rnb_app.css	(from https://www.routenote.com/)
20:40:04	10467/10467	---M--	200	added ('OK')	image/png	date:Wed,%2005%20May%202021%2015:38:54%20GMT	https://www.routenote.com/_assets/icons/apple-touch-icon.png	C:/My%20Web%20Sites/Routenote%20website/www.routenote.com/_assets/icons/apple-touch-icon.png	(from https://www.routenote.com/)
20:40:04	2617/2617	---M--	200	added ('OK')	image/png	date:Wed,%2005%20May%202021%2015:38:54%20GMT	https://www.routenote.com/_assets/icons/favicon-32x32.png	C:/My%20Web%20Sites/Routenote%20website/www.routenote.com/_assets/icons/favicon-32x32.png	(from https://www.routenote.com/)
20:40:05	1227/1227	---M--	200	added ('OK')	image/png	date:Wed,%2005%20May%202021%2015:38:54%20GMT	https://www.routenote.com/_assets/icons/favicon-16x16.png	C:/My%20Web%20Sites/Routenote%20website/www.routenote.com/_assets/icons/favicon-16x16.png	(from https://www.routenote.com/)
20:40:06	472/472	---M--	200	added ('OK')	text/html	date:Wed,%2005%20May%202021%2015:38:54%20GMT	https://www.routenote.com/_assets/icons/site.webmanifest	C:/My%20Web%20Sites/Routenote%20website/www.routenote.com/_assets/icons/site.html	(from https://www.routenote.com/)
20:40:06	3633/3633	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2005%20May%202021%2015:38:54%20GMT	https://www.routenote.com/_assets/icons/safari-pinned-tab.svg	C:/My%20Web%20Sites/Routenote%20website/www.routenote.com/_assets/icons/safari-pinned-tab.svg	(from https://www.routenote.com/)
20:40:07	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Wed,%2005%20May%202021%2015:38:54%20GMT	https://www.routenote.com/_assets/icons/favicon.ico	C:/My%20Web%20Sites/Routenote%20website/www.routenote.com/_assets/icons/favicon.ico	(from https://www.routenote.com/)
20:40:07	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2028%20Nov%202022%2015:10:07%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Routenote%20website/www.googletagmanager.com/gtm.a5445.delayed	(from https://www.routenote.com/)
20:40:09	1618/1618	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20Aug%202021%2002:52:04%20GMT	https://www.routenote.com/rnb_emailsubmit.js	C:/My%20Web%20Sites/Routenote%20website/www.routenote.com/rnb_emailsubmit.js	(from https://www.routenote.com/)
